group,freq,window,n_stations,est,se,n_cells
새 경계 안쪽·오리·이매 (C5 적용역),week,사전(placebo),2,0.0451851846081158,0.011010543511986777,110
새 경계 안쪽·오리·이매 (C5 적용역),week,노출 후 전체,2,-0.03437063941729068,0.00594561290433362,66
새 경계 안쪽·오리·이매 (C5 적용역),month,사전(placebo),2,0.04589896621634647,0.01042392142953443,26
새 경계 안쪽·오리·이매 (C5 적용역),month,노출 후 전체,2,-0.029740028425281013,0.005940949782534595,14
새 경계 바깥·야당·운정·인덕원·평촌 (C4 인접 미적용),week,사전(placebo),4,-0.03368972595634765,0.02189520871541907,88
새 경계 바깥·야당·운정·인덕원·평촌 (C4 인접 미적용),week,노출 후 전체,4,-0.03979023058194206,0.035061347482527636,84
새 경계 바깥·야당·운정·인덕원·평촌 (C4 인접 미적용),month,사전(placebo),4,-0.03259783439797996,0.02296094008237456,21
새 경계 바깥·야당·운정·인덕원·평촌 (C4 인접 미적용),month,노출 후 전체,4,-0.037811122809379503,0.03527797282593181,20
새 경계 바깥·죽전·보정·삼동·경기광주 (C5 인접 미적용),week,사전(placebo),4,0.029034104342138167,0.01247970437870224,110
새 경계 바깥·죽전·보정·삼동·경기광주 (C5 인접 미적용),week,노출 후 전체,4,-0.022030110426724477,0.02054378407333443,66
새 경계 바깥·죽전·보정·삼동·경기광주 (C5 인접 미적용),month,사전(placebo),4,0.031439850355971646,0.012284491506150208,26
새 경계 바깥·죽전·보정·삼동·경기광주 (C5 인접 미적용),month,노출 후 전체,4,-0.018065920885974893,0.01967087110159378,14
