bin,e_start,est,se,n_cells,lo,hi,lo_unif,hi_unif,cohort,freq,n_units
-37,-148,-0.0036093456869938463,0.025697661950480965,4,-0.053976763109936536,0.04675807173594885,-0.06957890785724545,0.062360216483257756,C5,week,5
-36,-144,0.01138448754667612,0.026279608708587338,4,-0.04012354552215506,0.06289252061550729,-0.05607901492494037,0.07884799001829261,C5,week,5
-35,-140,-0.02822255786434159,0.024254850673451983,1,-0.07576206518430748,0.0193169494556243,-0.09048821777207151,0.03404310204338834,C5,week,5
-34,-136,0.01027685438137999,0.020403875663550373,4,-0.029714741919178736,0.05026845068193872,-0.04210280360830249,0.06265651237106247,C5,week,5
-33,-132,0.007215333194870502,0.022808886695892275,4,-0.03749008472907836,0.05192075111881936,-0.051338331018566934,0.06576899740830794,C5,week,5
-32,-128,0.007094927123210295,0.02258473083275782,4,-0.03717114530899503,0.05136099955541562,-0.05088329702967337,0.06507315127609396,C5,week,5
-31,-124,0.05859250698516194,0.022552893419368017,4,0.014388835883200626,0.10279617808712325,0.0006960140117920274,0.11648899995853185,C5,week,5
-30,-120,0.0047927053042840645,0.023142335970969652,2,-0.04056627319881645,0.05015168380738458,-0.05461697074109478,0.06420238134966291,C5,week,5
-29,-116,-0.0036080595929178956,0.021988217434911746,4,-0.046704965765344914,0.03948884657950913,-0.060054948803329955,0.05283882961749417,C5,week,5
-28,-112,0.010037223550218119,0.02241190220261375,4,-0.03389010476690483,0.053964551867341067,-0.04749732486737652,0.06757177196781275,C5,week,5
-27,-108,0.01934941378982421,0.023277237987843622,4,-0.026273972666349288,0.0649728002459977,-0.040406574967046006,0.07910540254669443,C5,week,5
-26,-104,0.02762453283194121,0.01583573648149873,4,-0.0034135106717962972,0.058662576335678715,-0.013028060557334006,0.06827712622121643,C5,week,5
-25,-100,0.021789070001494326,0.010157132280173415,4,0.0018810907323544325,0.04169704927063422,-0.004285736754060663,0.04786387675704931,C5,week,5
-24,-96,0.011735624376825581,0.010453743393802225,4,-0.008753712675026778,0.03222496142867794,-0.015100625397889256,0.03857187415154042,C5,week,5
-23,-92,-0.020571536516869875,0.010755914935665918,4,-0.041653129790775074,0.0005100567570353251,-0.048183503722823026,0.007040430689083277,C5,week,5
-22,-88,-0.02234706944732289,0.007631338935212466,3,-0.03730449376033933,-0.0073896451343064586,-0.0419378045616253,-0.002756334333020482,C5,week,5
-21,-84,0.007476877344855953,0.009417237025116047,2,-0.010980907224371499,0.025934661914083404,-0.016698512797544172,0.03165226748725608,C5,week,5
-20,-80,0.020631368280400915,0.010225109846879937,4,0.0005901529805162377,0.040672583580285596,-0.005617946581053742,0.046880683141855575,C5,week,5
-19,-76,-0.0021322072319362693,0.011060034852613306,4,-0.02380987554305835,0.01954546107918581,-0.03052489362576468,0.026260479161892142,C5,week,5
-18,-72,0.03134825914980625,0.011110559224165088,4,0.009571563070442674,0.053124955229169823,0.0028258694904970717,0.059870648809115426,C5,week,5
-17,-68,0.030001890889357268,0.011862898934448326,2,0.006750608977838548,0.05325317280087599,-0.00045186207398783054,0.06045564385270237,C5,week,5
-16,-64,0.002068965208387506,0.012079754327519104,3,-0.021607353273549935,0.02574528369032495,-0.02894148646796519,0.0330794168847402,C5,week,5
-15,-60,0.007181054068637026,0.01220610516647862,4,-0.016742912057661066,0.031105020194935117,-0.024153758226283427,0.03851586636355748,C5,week,5
-14,-56,-0.018239212629849073,0.012155586138440814,4,-0.04206416146119307,0.005585736201494922,-0.049444335376851015,0.012965910117152868,C5,week,5
0,0,-0.0021679432813797844,0.014350085529974202,4,-0.030294110920129222,0.02595822435736965,-0.039006658855671276,0.034670772292911704,C5,week,5
1,4,-0.0037388316009114822,0.013554930131895009,4,-0.030306494659425698,0.022828831457602734,-0.03853626989598284,0.031058606694159874,C5,week,5
2,8,-0.002386682245961304,0.014595046586561503,4,-0.03099297355562185,0.02621960906369924,-0.03985424777878079,0.03508088328685819,C5,week,5
3,12,0.007171026111723381,0.015104996485685028,4,-0.022434767000219274,0.03677681922366603,-0.03160565352022189,0.04594770574366866,C5,week,5
4,16,-0.00632331048259093,0.014559445352454774,3,-0.034859823373402286,0.022213202408220428,-0.043699482571475046,0.031052861606293183,C5,week,5
5,20,0.007683248552241817,0.016575692703826,2,-0.024805109147257143,0.04017160625174078,-0.03486891796186275,0.050235415066346385,C5,week,5
6,24,0.008415198265698259,0.012083946294278674,4,-0.015269336471087943,0.03209973300248446,-0.022606014787012102,0.039436411318408617,C5,week,5
7,28,-0.0045187960728095096,0.01154570541056699,4,-0.02714837867752081,0.01811078653190179,-0.03415826803525992,0.0251206758896409,C5,week,5
8,32,0.000810153313678431,0.011336896925347542,4,-0.021410164660002753,0.023030471287359616,-0.028293277495537703,0.029913584122894566,C5,week,5
9,36,0.005078263206224473,0.009460141790638851,3,-0.013463614703427674,0.023620141115876618,-0.019207269586585286,0.02936379599903423,C5,week,5
10,40,0.0026354936680281723,0.007057370229968654,3,-0.011196951982710389,0.016467939318766733,-0.015481781944109227,0.020752769280165572,C5,week,5
11,44,0.003367028881868619,0.008060527047710514,4,-0.012431604131643988,0.019165661895381228,-0.017325493310368444,0.02405955107410568,C5,week,5
12,48,-0.02827367919789981,0.02023924476704158,4,-0.06794259894130131,0.011395240545501686,-0.08023070620335854,0.023683347807558923,C5,week,5
13,52,-0.00997180390312975,0.030487920874744414,4,-0.0697281288176288,0.049784521011369307,-0.08823864372162614,0.06829503591536663,C5,week,5
14,56,-0.002879701669232469,0.030664951272192115,4,-0.06298300616272902,0.05722360282426408,-0.08160100375876951,0.07584160042030456,C5,week,5
15,60,-0.025318077992412376,0.030965752397232073,4,-0.08601095269098724,0.03537479670616248,-0.10481157945780872,0.05417542347298398,C5,week,5
16,64,-0.009700895223376764,0.03401895697242449,4,-0.07637805088932877,0.05697626044257524,-0.09703240815572227,0.07763061770896874,C5,week,5
17,68,-0.025498873627254906,0.029761437299643312,3,-0.0838312907345558,0.03283354348004598,-0.10190072652726621,0.0509029792727564,C5,week,5
