complex,1년차,2년차,type
길동,0.04248393727740882,0.11660124126063137,혼합형
낙성대,-0.002472464043287099,0.020743332322783817,혼합형
남구로,-0.02668076296488759,0.007232222707071444,혼합형
노량진,0.0027896855894973863,0.036523801939208206,혼합형
노원,0.17016735185843962,0.017617342379780427,혼합형
당산,-0.0065099959418094015,0.016434072927187623,혼합형
대방,0.0038493896527682764,0.017678294905845913,혼합형
대청,0.027405204258381225,0.04856310470392144,혼합형
대치,0.023577741043967454,0.05048295567633101,혼합형
대흥,0.014190563333068151,0.056149840207122416,혼합형
도곡,0.058311948248462205,0.08686193157716676,혼합형
도림천,0.0406380033059881,0.08202553986252857,혼합형
독산,-0.034717181681839036,-0.049959612493039686,혼합형
둔촌동,0.043051179156472365,0.3877932796284098,혼합형
마곡,0.04921235900252624,0.24332157048763284,혼합형
마장,0.011168684614776216,0.022082261586440898,혼합형
마포구청,0.016145712267940485,0.037493323065007536,혼합형
몽촌토성,0.0670646812392079,0.12879090974818427,혼합형
반포,0.03210241693187539,0.0923648006489719,혼합형
방배,-0.022345691749078557,0.008933594024741308,혼합형
방이,0.010959454362881678,0.0446564800732586,혼합형
버티고개,0.02165531428640845,0.042129692036520554,혼합형
보라매,0.022614231973498117,0.06886533330874244,혼합형
보문,0.023748818664089826,0.07616258880087255,혼합형
사평,0.022738727198907266,0.08404514790745542,혼합형
상도,0.006083154390506637,0.04016096690405529,혼합형
상왕십리,0.005385745403938932,0.019445378655112363,혼합형
서울대입구,-0.01054530291102526,0.014485204624264149,혼합형
석촌,0.05074842443575613,0.09805732043553099,혼합형
석촌고분,0.04834495630803629,0.09302010933109388,혼합형
선유도,0.008735744330620644,0.05279025502301666,혼합형
성신여대입구,0.0398681043173918,0.07558556697308493,혼합형
송파나루,0.04802774924141195,0.11414609302566346,혼합형
숭실대입구,-0.003545492730050507,-0.003028994398869707,혼합형
신길,0.025949081955578424,0.02221128214678023,혼합형
신당,0.016707284363598186,0.024328476176352337,혼합형
신도림,0.025794044232532752,0.018011820723657382,혼합형
신반포,0.08134988554625605,0.19110646177410648,혼합형
신설동,0.022611038523196608,0.05403910111357348,혼합형
아현,0.008485253697960599,0.025689600075447083,혼합형
애오개,0.008249953078627952,-0.0017444151527129387,혼합형
약수,-0.012104768322010026,-0.005309131437360064,혼합형
양천향교,0.01731979959556786,0.08539427021903673,혼합형
양평(5호선),0.03804851537642361,0.11335277179664242,혼합형
어린이대공원,0.025890660375752415,0.05865018899050765,혼합형
영등포시장,0.04999438005787843,0.10563415458927983,혼합형
오목교,-0.02088446497979568,-0.0030714598684577162,혼합형
옥수,0.0025820304087970708,0.020183398512194615,혼합형
외대앞,0.028278939155403866,0.10644238164048979,혼합형
용두,0.029114595864226395,0.05584536756312495,혼합형
이대,0.018933438315756498,0.05804230027782625,혼합형
이수,0.026184938061173217,0.058217206401982274,혼합형
일원,-0.010100560145057533,0.030738544895543184,혼합형
잠실나루,-0.008161093613604611,-0.0012644338205217555,혼합형
잠실새내,0.03234747864728395,0.04956949349937822,혼합형
잠원,0.026793859025396594,0.20748726581447818,혼합형
장지,-0.00011155924583976801,0.015615575345048073,혼합형
장한평,0.026833644387129603,0.06169701099379049,혼합형
증미,0.03899817027649836,0.06273721875706245,혼합형
천호,0.04582463421536604,0.1204780164566076,혼합형
청구,0.004125778116183309,-0.030328900232946748,혼합형
태릉입구,-0.004848587980746478,-0.0007497709511239981,혼합형
한성대입구,0.005616549531950679,0.05243683819345096,혼합형
한성백제,0.06203581765083979,0.13349289330975275,혼합형
회기,-0.02096368598200099,0.006024641896790431,혼합형
효창공원앞,0.004940776395542267,0.038864354907032266,혼합형
흑석,0.0040688016392120795,0.02806311166462606,혼합형
4.19민주묘지,0.018531232932801605,0.04565807808478877,생활·한낮형
강변,-0.06044551614036713,-0.11942408409999129,생활·한낮형
구룡,0.311538167228584,0.3089091438899082,생활·한낮형
독립문,0.045681998570727286,0.08184933421805922,생활·한낮형
동대문,0.013314338765377829,0.015468125260194636,생활·한낮형
동묘앞,0.05897074244664065,0.08953263342468533,생활·한낮형
동작,0.0466759546470893,0.16772217693441413,생활·한낮형
북한산우이,0.0117243410399354,-0.008228918547649094,생활·한낮형
삼양사거리,0.02462929881454545,0.042649200528147295,생활·한낮형
서빙고,0.020941090723747804,0.027780060718460963,생활·한낮형
이촌,-0.005749843626191475,0.10798621256080158,생활·한낮형
정릉,0.004004247100347714,0.01669704814401149,생활·한낮형
제기동,0.0063510027092757,-0.023679886185215753,생활·한낮형
종로5가,-0.038799896109936075,-0.02734870484877425,생활·한낮형
청량리,0.06410770970722626,0.08178506822510487,생활·한낮형
학여울,0.03039182384443055,0.018734852459878878,생활·한낮형
