g,t,b,e,att,n_g,n_g_valid,n_c,t_label,cohort
44,20,32,-24,-0.035137296533261135,2,2,111,2023-09-01,C6
44,21,33,-23,-0.030425197099452718,2,2,111,2023-10-01,C6
44,22,34,-22,-0.035226245910602125,2,2,111,2023-11-01,C6
44,23,35,-21,-0.043581136641524194,2,2,111,2023-12-01,C6
44,24,36,-20,-0.03637322300087491,2,2,111,2024-01-01,C6
44,25,37,-19,-0.05894286682524568,2,2,111,2024-02-01,C6
44,26,38,-18,-0.04404783371325201,2,2,111,2024-03-01,C6
44,27,39,-17,-0.04027997275396402,2,2,111,2024-04-01,C6
44,28,40,-16,-0.01748064134787611,2,2,111,2024-05-01,C6
44,29,41,-15,-0.0048224198524011355,2,2,111,2024-06-01,C6
44,30,42,-14,0.0011258560508907891,2,2,111,2024-07-01,C6
44,44,32,0,-0.00020941504121677057,2,2,111,2025-09-01,C6
44,45,33,1,0.019190954923060805,2,2,111,2025-10-01,C6
44,46,34,2,0.011740706058289224,2,2,111,2025-11-01,C6
44,47,35,3,-0.004600878885570467,2,2,111,2025-12-01,C6
44,48,36,4,0.006884300407683758,2,2,111,2026-01-01,C6
44,49,37,5,-0.004764308777879055,2,2,111,2026-02-01,C6
44,50,38,6,-0.009657515356704796,2,2,111,2026-03-01,C6
44,51,39,7,0.002440502078266439,2,2,111,2026-04-01,C6
44,52,40,8,0.014817554490974029,2,2,111,2026-05-01,C6
44,53,41,9,0.021021585650680977,2,2,111,2026-06-01,C6
44,54,42,10,0.026515619718493023,2,2,111,2026-07-01,C6
