bin,e_start,est,se,n_cells,lo,hi,lo_unif,hi_unif,cohort,freq,n_units
10,10,0.03261917690994271,0.007240863747277558,1,0.018427083965278698,0.04681126985460672,0.012787104520159114,0.052451249299726305,C1,month,283
12,12,0.04221947237265151,0.012131964414624701,1,0.018440822119987092,0.06599812262531593,0.008991116626891484,0.07544782811841153,C1,month,283
13,13,0.033244221415011224,0.01105424772635389,1,0.011577895871357602,0.054910546958664846,0.0029676344254994623,0.06352080840452298,C1,month,283
14,14,0.04422552510371856,0.01087177630435853,1,0.022916843547175846,0.06553420666026127,0.014448710872869652,0.07400233933456747,C1,month,283
15,15,0.026382951077465328,0.010890707368814586,1,0.005037164634588739,0.047728737520341916,-0.0034457136305934798,0.05621161578552414,C1,month,283
16,16,0.02060732101839232,0.010109764841135158,1,0.0007921819297674118,0.04042246010701723,-0.0070824125784406874,0.04829705461522533,C1,month,283
17,17,0.0416205629970126,0.011276664664987555,1,0.01951830025363699,0.0637228257403882,0.01073479608344062,0.07250632991058457,C1,month,283
18,18,0.024155045202120095,0.011254286170559423,1,0.002096644307823626,0.04621344609641656,-0.0066694290346438236,0.05497951943888402,C1,month,283
19,19,0.04813582140262977,0.011550609301718095,1,0.025496627171262307,0.07077501563399724,0.016499744849758795,0.07977189795550074,C1,month,283
20,20,0.02459347317481873,0.011483059434788431,1,0.0020866766826334038,0.047100269667004056,-0.006857590388217569,0.05604453673785503,C1,month,283
21,21,0.018804369969520493,0.011441918277420318,1,-0.0036217898542233312,0.04123052979326432,-0.01253401167605387,0.050142751615094856,C1,month,283
22,22,0.03631338863287731,0.01157794623434584,1,0.013620614013559462,0.059006163252195154,0.004602438688417941,0.06802433857733667,C1,month,283
24,24,0.02033329045294892,0.015381312964041527,1,-0.009814082956572472,0.05048066386247031,-0.021794737749139488,0.062461318655037325,C1,month,283
25,25,0.03486304484926189,0.014159930462097453,1,0.007109581143550883,0.0626165085549729,-0.003919726897299761,0.07364581659582355,C1,month,283
26,26,0.03127619765931436,0.013976782481091096,1,0.003881703996375812,0.0586706913222529,-0.007004948294505868,0.06955734361313459,C1,month,283
27,27,0.023993317972582973,0.013645318687253653,1,-0.002751506654434188,0.05073814259960013,-0.01337997856113899,0.061366614506304935,C1,month,283
28,28,0.03633019559504916,0.013082212830841525,1,0.010689058446599769,0.061971332743498544,0.0004991951874869019,0.07216119600261142,C1,month,283
29,29,0.03944418282210073,0.013829978369963062,1,0.01233742521697313,0.06655094042722833,0.0015651200810883198,0.07732324556311314,C1,month,283
30,30,0.030196729413094512,0.013421162275418548,1,0.0038912513532741583,0.056502207472914866,-0.0065626229364381845,0.06695608176262721,C1,month,283
-38,-152,-0.005328927228871044,0.015461158366385497,4,-0.03563279762698662,0.02497494316924453,-0.048026059684873765,0.037368205227131676,C4,week,13
-37,-148,-0.0170830558884682,0.022471651208333932,1,-0.06112749225680271,0.026961380479866306,-0.07914018287795346,0.04497407110101707,C4,week,13
-36,-144,-0.009331615578952429,0.020244197450401732,4,-0.049010242581739825,0.030347011423834967,-0.06523746425614615,0.04657423309824129,C4,week,13
-35,-140,-0.01485862590352851,0.016923740835141247,4,-0.048029157940405354,0.018311906133348335,-0.06159478803094716,0.03187753622389014,C4,week,13
-34,-136,-0.026127916041225954,0.016860868047050524,4,-0.05917521741344498,0.006919385330993073,-0.07269045031377286,0.020434618231320957,C4,week,13
-33,-132,-0.028566292021226906,0.017349173480271644,4,-0.06257067204255932,0.005438088000105517,-0.07647731786647233,0.01934473382401852,C4,week,13
-32,-128,-0.020244444754845374,0.016409293759025615,4,-0.05240666052253558,0.01191777101284483,-0.06555992322907359,0.025071033719382838,C4,week,13
-31,-124,-0.018394438383834193,0.015730608544670326,4,-0.049226431131388027,0.012437554363719645,-0.0618356774377962,0.025046800670127815,C4,week,13
-30,-120,-0.021263568192321662,0.015396787674021268,3,-0.051441272033403346,0.008914135648760022,-0.06378293622000472,0.021255799835361404,C4,week,13
-29,-116,-0.03348863374903839,0.016713570093564074,2,-0.06624723113242398,-0.00073003636565281,-0.079644393827733,0.012667126329656227,C4,week,13
-28,-112,-0.04665810460133352,0.014887738866139295,4,-0.07583807277896654,-0.0174781364237005,-0.0877716966928512,-0.005544512509815837,C4,week,13
-27,-108,-0.02618834342785698,0.014662086239408529,4,-0.05492603245709769,0.0025493456013837394,-0.06667877909963864,0.014302092243924678,C4,week,13
-26,-104,-0.03529037984950979,0.012972345992221681,4,-0.06071617799426429,-0.009864581704755297,-0.07111447284238634,0.0005337131433667472,C4,week,13
-25,-100,-0.0370360277354323,0.011806814460085703,3,-0.060177384077200274,-0.01389467139366432,-0.06964141919056036,-0.004430636280304233,C4,week,13
-24,-96,-0.02515917513655441,0.013598750985321652,2,-0.05181272706778485,0.0014943767946760285,-0.06271313185164981,0.01239478157854099,C4,week,13
-23,-92,-0.030746406805058295,0.013650924493363335,4,-0.057502218812050435,-0.003990594798066158,-0.06844444452176825,0.006951630911651657,C4,week,13
-22,-88,-0.024707448794704722,0.01332889369137068,4,-0.05083208042979126,0.0014171828403818122,-0.06151617463181534,0.012101277042405902,C4,week,13
-21,-84,-0.03295643274132547,0.012984531151025136,4,-0.058406113797334736,-0.007506751685316202,-0.06881417595154662,0.0029013104688956903,C4,week,13
-20,-80,-0.04561781419407922,0.013228771069683001,4,-0.0715462054906579,-0.019689422897500537,-0.08215004400555341,-0.009085584382605025,C4,week,13
-19,-76,-0.02700493227650365,0.012157813622323915,4,-0.05083424697625852,-0.003175617576748776,-0.06057963388077382,0.006569769327766525,C4,week,13
-18,-72,-0.010129738205883943,0.011696710817497829,4,-0.033055291408179685,0.012795814996411801,-0.04243107030788594,0.022171593896118058,C4,week,13
-17,-68,-0.005152381554874956,0.008689877390224367,4,-0.022184541239714715,0.011879778129964803,-0.0291501207387323,0.018845357628982387,C4,week,13
-16,-64,0.014395702493861936,0.016101632241575136,1,-0.01716349669962533,0.0459549016873492,-0.030070145942893936,0.058861550930617804,C4,week,13
-15,-60,-0.022072280458335692,0.011381352686852898,4,-0.04437973172456737,0.00023517080789598951,-0.05350272775622765,0.009358166839556262,C4,week,13
-14,-56,0.0034129030797596747,0.008982159092904743,4,-0.014192128742333622,0.02101793490185297,-0.021391993645471945,0.02821779980499129,C4,week,13
