bin,e_start,est,se,n_cells,lo,hi,lo_unif,hi_unif
9,36,0.004071281455908813,0.005436615551834148,15,-0.006584485025686118,0.014727047937503745,-0.011006157552345495,0.019148720464163122
10,40,-0.00981821659487137,0.005566813599274924,13,-0.020729171249450222,0.0010927380597074814,-0.02525673559867913,0.005620302408936391
11,44,0.026239924163457645,0.006032942734260711,15,0.014415356404306651,0.038064491922608634,0.009508682962225515,0.04297116536468977
12,48,0.020681436977651416,0.006152502779303183,16,0.008622531530217177,0.03274034242508565,0.0036186182959509726,0.037744255659351855
13,52,0.03991081821379157,0.010364430651151044,15,0.019596534137535523,0.060225102290047614,0.01116700333335719,0.06865463309422595
14,56,0.03894593169540458,0.0100147208033675,13,0.019317078920804278,0.05857478447000487,0.011171971837873815,0.06671989155293534
15,60,0.03912862723635231,0.010033309775561982,9,0.019463340076250828,0.058793914396453796,0.011303114332295413,0.06695414014040921
16,64,0.025020220472442643,0.009643828392889565,12,0.0061183168223790975,0.04392212412250619,-0.0017251384762526772,0.051765579421137964
17,68,0.024012816571462852,0.009116243235242818,11,0.006144979830386928,0.041880653312538776,-0.0012693833658516812,0.049295016508777385
18,72,0.020523335827320747,0.009156946869085539,8,0.0025757199639130923,0.0384709516907284,-0.0048717480450130475,0.045918419699654545
19,76,0.027670674842386556,0.010244451638633347,8,0.007591549630665193,0.04774980005410792,-0.0007404006294472187,0.05608175031422033
20,80,0.03452905823417549,0.0101564171897533,8,0.014622480542259023,0.05443563592609196,0.006362129883093412,0.06269598658525757
21,84,0.009774492612849545,0.01027566335454435,6,-0.010365807562057381,0.02991479278775647,-0.01872314273037928,0.03827212795607837
22,88,0.036664892669958954,0.010322219734107168,7,0.016433341991108904,0.056896443348809,0.008038141893311868,0.06529164344660604
23,92,0.021829632497334404,0.010562559708535731,5,0.0011270154686043726,0.042532249526064436,-0.007463656361901497,0.0511229213565703
24,96,0.02733619784822632,0.010807741058491195,4,0.006153025373583577,0.04851937032286906,-0.002637055745442169,0.05730945144189481
25,100,0.05136334713461318,0.010614236731059871,4,0.03055944314173583,0.07216725112749053,0.021926741693984456,0.0807999525752419
26,104,0.057928874569615096,0.014232293460810539,3,0.03003357938642644,0.08582416975280376,0.018458263753561972,0.09739948538566823
27,108,0.046480142508771416,0.013450012864038356,4,0.02011811729525624,0.07284216772228659,0.009179040989949025,0.08378124402759381
28,112,0.03329782865865136,0.013317329394170388,4,0.007195863046077396,0.05939979427122532,-0.0036353000091823504,0.07023095732648507
29,116,0.02469576713412603,0.0128544352517017,4,-0.000498925959209303,0.04989046022746137,-0.010953610984527268,0.06034514525277933
30,120,0.03822437452326214,0.012533384685443542,4,0.013658940539792799,0.06278980850673148,0.003465370256717955,0.07298337878980632
31,124,0.0314273635176298,0.012751829679624316,4,0.00643377734556614,0.05642094968969346,-0.003937457188391683,0.06679218422365128
32,128,0.032407027218543674,0.013139231909496918,4,0.006654132675929715,0.05815992176115763,-0.004032181300424285,0.06884623573751164
33,132,0.04361211008315771,0.012805663231399344,4,0.018513010149614997,0.06871121001670043,0.00809799206417617,0.07912622810213926
34,136,0.015765599654263166,0.013202687169891028,2,-0.010111667198723247,0.041642866507249576,-0.02084959019154743,0.05238078950007376
