g,t,b,e,att,k,n_g,n_g_valid,n_c,t_label,cohort
41,26,38,-15,0.008385022276138208,-1,5,5,101,2024-03-01,C5
41,27,39,-14,-0.01614594716885892,-1,5,5,101,2024-04-01,C5
41,41,29,0,0.005387180790969956,1,5,5,101,2025-06-01,C5
41,42,30,1,0.0050018087668521885,1,5,5,101,2025-07-01,C5
41,43,31,2,-0.0037227899039789353,1,5,5,101,2025-08-01,C5
41,44,32,3,0.024962603914670173,1,5,5,101,2025-09-01,C5
41,45,33,4,-0.008426300529422684,1,5,5,101,2025-10-01,C5
41,46,34,5,-0.009780578407763488,1,5,5,101,2025-11-01,C5
41,47,35,6,0.015391784031995197,1,5,5,101,2025-12-01,C5
41,48,36,7,0.042681328389353415,1,5,5,101,2026-01-01,C5
41,49,37,8,-0.04534239691354742,1,5,5,101,2026-02-01,C5
41,50,38,9,0.01286397875307898,1,5,5,101,2026-03-01,C5
41,51,39,10,-0.027283385240912866,1,5,5,101,2026-04-01,C5
41,53,29,12,0.010434835506096224,2,5,5,101,2026-06-01,C5
41,54,30,13,-0.016785280776698816,2,5,5,101,2026-07-01,C5
41,55,31,14,-0.0203067226236804,2,5,5,101,2026-08-01,C5
44,0,36,-44,-0.15861030738740334,-3,2,2,101,2022-01-01,C6
44,1,37,-43,-0.16716983098297145,-3,2,2,101,2022-02-01,C6
44,2,38,-42,-0.1657303728270968,-3,2,2,101,2022-03-01,C6
44,3,39,-41,-0.14739282364619138,-3,2,2,101,2022-04-01,C6
44,4,40,-40,-0.13464052743062166,-3,2,2,101,2022-05-01,C6
44,5,41,-39,-0.1083668338327903,-3,2,2,101,2022-06-01,C6
44,6,42,-38,-0.11270421922233934,-3,2,2,101,2022-07-01,C6
44,8,32,-36,-0.10289551905467732,-2,2,2,101,2022-09-01,C6
44,9,33,-35,-0.1009917416908906,-2,2,2,101,2022-10-01,C6
44,10,34,-34,-0.11189163228782376,-2,2,2,101,2022-11-01,C6
44,11,35,-33,-0.10960831288833024,-2,2,2,101,2022-12-01,C6
44,12,36,-32,-0.0860305622639333,-2,2,2,101,2023-01-01,C6
44,13,37,-31,-0.08393095988807842,-2,2,2,101,2023-02-01,C6
44,14,38,-30,-0.08351866353214184,-2,2,2,101,2023-03-01,C6
44,15,39,-29,-0.07580088306248871,-2,2,2,101,2023-04-01,C6
44,16,40,-28,-0.0744740481633793,-2,2,2,101,2023-05-01,C6
44,17,41,-27,-0.05791238633574024,-2,2,2,101,2023-06-01,C6
44,18,42,-26,-0.053775658481192146,-2,2,2,101,2023-07-01,C6
44,20,32,-24,-0.03579107516571436,-1,2,2,101,2023-09-01,C6
44,21,33,-23,-0.031031135742718874,-1,2,2,101,2023-10-01,C6
44,22,34,-22,-0.034697395182636856,-1,2,2,101,2023-11-01,C6
44,23,35,-21,-0.045823865286280914,-1,2,2,101,2023-12-01,C6
44,24,36,-20,-0.03692881702377933,-1,2,2,101,2024-01-01,C6
44,25,37,-19,-0.06315617665364734,-1,2,2,101,2024-02-01,C6
44,26,38,-18,-0.046427739221776204,-1,2,2,101,2024-03-01,C6
