bin,e_start,est,se,n_cells,lo,hi,lo_unif,hi_unif,month,group
4,4,-0.025336519647480116,0.012806055442522361,1,-0.05043638831482394,-0.00023665098013628955,-0.05864104592447211,0.007968006629511876,2024-06,2차 링
5,5,-0.022830049047427532,0.012869845982984187,1,-0.04805494717407654,0.002394849079221474,-0.05630047447584596,0.010640376380990899,2024-07,2차 링
6,6,-0.01994270430863637,0.012158305001295881,1,-0.04377298211117629,0.0038875734939035587,-0.05156263522466127,0.011677226607388538,2024-08,2차 링
7,7,-0.009071408898133897,0.012712670032665959,1,-0.03398824216215918,0.015845424365891383,-0.04213306906772775,0.023990251271459956,2024-09,2차 링
8,8,-0.006143642972428864,0.011301608903823198,1,-0.028294796423922332,0.016007510479064603,-0.035535576530661944,0.023248290585804215,2024-10,2차 링
9,9,-0.019710564439819948,0.011022156249509873,1,-0.0413139906888593,0.0018928618092194024,-0.04837572945402116,0.008954600574381268,2024-11,2차 링
10,10,-0.002402221500610921,0.01110273110409778,1,-0.024163574464642568,0.019359131463420727,-0.03127693639329988,0.026472493392078033,2024-12,2차 링
12,12,-0.015466820579647154,0.018440019170211108,1,-0.05160925815326092,0.02067561699396661,-0.06342351620375791,0.03248987504446361,2025-02,2차 링
13,13,-0.027054278265227483,0.017452874283822615,1,-0.0612619118615198,0.007153355331064839,-0.07244372022129944,0.018335163690844477,2025-03,2차 링
14,14,-0.02040145039026573,0.016831112980101436,1,-0.053390431831264545,0.012587531050733083,-0.06417388656569427,0.023370985785162807,2025-04,2차 링
15,15,-0.034595874853412444,0.017176441925595684,1,-0.06826170102757997,-0.0009300486792449061,-0.07926640310653339,0.010074653399708505,2025-05,2차 링
16,16,-0.028728545750518013,0.013946778839867774,1,-0.056064232276658854,-0.0013928592243771763,-0.06499973514498492,0.0075426436439488855,2025-06,2차 링
17,17,-0.016633441496871383,0.015063562953291193,1,-0.04615802488532212,0.012891141891579354,-0.05580903545355307,0.022542152459810304,2025-07,2차 링
18,18,-0.027126133137510014,0.019118069613403458,1,-0.06459754957978078,0.010345283304760762,-0.07684622490681017,0.022593958631790152,2025-08,2차 링
19,19,0.0007863538048997198,0.019675144903529847,1,-0.03777693020601878,0.03934963781581822,-0.05038251574937487,0.05195522335917431,2025-09,2차 링
20,20,-0.015537103799816564,0.019574132096047473,1,-0.05390240270806961,0.022828195108436485,-0.06644327078215487,0.03536906318252173,2025-10,2차 링
21,21,-0.012889135968708838,0.01904103257895911,1,-0.05020955982346869,0.024431287886051013,-0.06240887861805798,0.036630606680640304,2025-11,2차 링
22,22,0.008941675329329393,0.02065420620298642,1,-0.03154056882852399,0.04942391948718278,-0.04477342502340525,0.06265677568206404,2025-12,2차 링
24,24,-0.02101228249310009,0.025917265112598942,1,-0.071810122113794,0.029785557127593836,-0.08841494530714655,0.04639038032094638,2026-02,2차 링
25,25,-0.013133566251507198,0.02519592300002639,1,-0.06251757533155892,0.036250442828544525,-0.07866024489144943,0.05239311238843503,2026-03,2차 링
26,26,-0.017750266247271496,0.027461720350314526,1,-0.07157523813388797,0.03607470563934497,-0.0891695718346531,0.05366903934011011,2026-04,2차 링
27,27,-0.028843582936776753,0.02724854553891337,1,-0.08225073219304696,0.024563566319493454,-0.09970848782366412,0.04202132195011061,2026-05,2차 링
28,28,-0.01903086398303436,0.025793799170169454,1,-0.0695867103565665,0.031524982390497766,-0.08611243067638914,0.04805070271032043,2026-06,2차 링
29,29,-0.014233150524191968,0.02679456992220268,1,-0.06675050757170922,0.03828420652332528,-0.08391740748059709,0.055451106432213154,2026-07,2차 링
30,30,-0.022460113822222655,0.02662854037210092,1,-0.07465205295154045,0.029731825307095144,-0.09171258008875144,0.04679235244430613,2026-08,2차 링
